1565422441.079139 Temp=27.0C and Humidity=69.1%
1565422446.751174 Temp=27.3C and Humidity=67.8%
1565422459.983557 Temp=27.3C and Humidity=67.8%
1565422465.694698 Temp=27.2C and Humidity=67.7%
1565422471.391010 Temp=27.3C and Humidity=68.1%
1565422477.084001 Temp=27.3C and Humidity=68.4%
1565422482.725122 Temp=27.3C and Humidity=68.5%
1565422488.428463 Temp=27.2C and Humidity=68.0%
1565422494.081795 Temp=27.3C and Humidity=67.9%
1565422499.729844 Temp=27.3C and Humidity=67.9%
1565423715.000737 Temp=27.3C and Humidity=68.0%
1565423725.756543 Temp=27.3C and Humidity=67.0%
1565423731.479985 Temp=27.3C and Humidity=67.0%
1565423737.130845 Temp=27.3C and Humidity=66.9%
1565423742.797228 Temp=27.3C and Humidity=66.8%
1565423748.456151 Temp=27.3C and Humidity=66.9%
1565423754.131286 Temp=27.3C and Humidity=66.8%
1565423759.866036 Temp=27.3C and Humidity=66.6%
1565423765.541971 Temp=27.3C and Humidity=66.7%
1565423771.226857 Temp=27.3C and Humidity=66.7%
1565425264.431211 Temp=27.3C and Humidity=66.7%
1565425281.151927 Temp=27.7C and Humidity=65.7%
1565425294.703432 Temp=27.7C and Humidity=72.1%
1565425302.946300 Temp=27.7C and Humidity=72.1%
1565425311.188796 Temp=27.7C and Humidity=72.1%
1565425319.400870 Temp=27.7C and Humidity=72.1%
1565425332.639685 Temp=27.7C and Humidity=72.0%
1565425335.241029 Temp=27.8C and Humidity=72.1%
1565425340.893387 Temp=27.8C and Humidity=72.1%
1565425343.544489 Temp=27.8C and Humidity=72.0%
1565425346.602792 Temp=27.8C and Humidity=72.0%
1565425349.248644 Temp=27.7C and Humidity=72.0%
1565425357.418112 Temp=27.8C and Humidity=72.0%
1565425367.663757 Temp=27.8C and Humidity=72.0%
1565425370.683346 Temp=27.8C and Humidity=72.0%
1565425388.718471 Temp=27.8C and Humidity=72.3%
1565425396.579644 Temp=27.8C and Humidity=72.2%
1565425399.505946 Temp=27.8C and Humidity=72.2%
1565425407.373623 Temp=27.8C and Humidity=72.1%
1565425417.939664 Temp=27.8C and Humidity=72.0%
1565425420.670825 Temp=27.8C and Humidity=72.0%
1565425426.129927 Temp=27.8C and Humidity=72.0%
1565425428.958791 Temp=27.8C and Humidity=72.0%
1565425434.442304 Temp=27.8C and Humidity=72.0%
1565425437.360565 Temp=27.8C and Humidity=71.9%
1565425440.245144 Temp=27.8C and Humidity=71.9%
1565425445.854881 Temp=27.8C and Humidity=71.9%
1565425461.168654 Temp=27.8C and Humidity=71.7%
1565425471.726341 Temp=27.8C and Humidity=71.7%
1565425484.646360 Temp=27.9C and Humidity=71.8%
1565425495.161208 Temp=27.8C and Humidity=71.6%
1565425510.600558 Temp=27.8C and Humidity=71.7%
1565425515.705334 Temp=27.8C and Humidity=71.7%
1565425539.145305 Temp=27.9C and Humidity=71.8%
1565425544.955851 Temp=27.8C and Humidity=71.7%
1565425546.690107 Temp=27.9C and Humidity=71.8%
1565425551.788965 Temp=27.8C and Humidity=71.7%
1565425552.485602 Temp=27.9C and Humidity=71.8%
1565425568.436154 Temp=27.9C and Humidity=72.1%
1565425583.685179 Temp=27.9C and Humidity=72.2%
1565425584.716500 Temp=27.9C and Humidity=72.1%
1565425589.008106 Temp=27.9C and Humidity=72.1%
1565425593.486352 Temp=27.9C and Humidity=72.0%
1565425599.316342 Temp=27.9C and Humidity=72.0%
1565425615.159877 Temp=27.9C and Humidity=72.0%
1565425626.171124 Temp=27.9C and Humidity=72.0%
1565425630.356455 Temp=27.9C and Humidity=72.0%
1565425635.758637 Temp=27.9C and Humidity=72.0%
1565425637.131459 Temp=27.9C and Humidity=72.0%
1565425643.838871 Temp=27.9C and Humidity=72.1%
1565425646.694098 Temp=27.9C and Humidity=72.1%
1565425652.301064 Temp=27.9C and Humidity=72.2%
1565425654.313858 Temp=27.9C and Humidity=72.2%
1565425675.323408 Temp=27.9C and Humidity=72.1%
1565425695.878614 Temp=27.9C and Humidity=72.3%
1565425708.967347 Temp=27.9C and Humidity=72.5%
1565425721.797664 Temp=27.9C and Humidity=72.5%
1565425724.502213 Temp=28.0C and Humidity=72.6%
1565425746.906644 Temp=27.9C and Humidity=72.8%
1565425760.279090 Temp=27.9C and Humidity=72.8%
1565425798.830616 Temp=27.9C and Humidity=73.0%
1565425803.859793 Temp=27.9C and Humidity=73.0%
1565425806.446256 Temp=27.9C and Humidity=73.1%
1565425844.641332 Temp=27.9C and Humidity=73.2%
1565425847.587263 Temp=27.9C and Humidity=73.2%
1565425855.307183 Temp=27.9C and Humidity=73.3%
1565425891.000156 Temp=27.9C and Humidity=73.3%
1565425898.704951 Temp=27.9C and Humidity=73.6%
1565425904.009298 Temp=27.9C and Humidity=73.5%
1565425924.819108 Temp=28.0C and Humidity=73.7%
1565425934.969542 Temp=27.9C and Humidity=73.6%
1565425936.916668 Temp=27.9C and Humidity=73.6%
1565425940.027052 Temp=27.9C and Humidity=73.6%
1565425947.770734 Temp=27.9C and Humidity=73.6%
1565425953.263827 Temp=28.0C and Humidity=73.8%
1565425963.505706 Temp=28.0C and Humidity=73.8%
1565425971.136950 Temp=28.0C and Humidity=73.8%
1565425973.812407 Temp=28.0C and Humidity=73.9%
1565425981.426517 Temp=28.0C and Humidity=73.9%
1565425986.540364 Temp=28.0C and Humidity=73.9%
1565425989.460350 Temp=27.9C and Humidity=73.9%
1565425992.003395 Temp=28.0C and Humidity=73.9%
1565426002.188865 Temp=27.9C and Humidity=74.0%
1565426025.192463 Temp=28.0C and Humidity=73.8%
1565426035.461528 Temp=27.9C and Humidity=74.2%
1565426068.763604 Temp=27.9C and Humidity=74.0%
1565426073.642179 Temp=28.0C and Humidity=74.5%
1565426074.123009 Temp=27.9C and Humidity=74.4%
1565426076.449694 Temp=27.9C and Humidity=74.4%
1565426077.111326 Temp=28.0C and Humidity=74.5%
1565426079.556101 Temp=27.9C and Humidity=74.4%
1565426095.118271 Temp=28.0C and Humidity=74.6%
1565426103.454827 Temp=28.0C and Humidity=74.7%
1565426112.894847 Temp=28.0C and Humidity=74.8%
1565426115.706399 Temp=27.9C and Humidity=74.6%
1565426118.226786 Temp=28.0C and Humidity=74.7%
1565426119.086480 Temp=27.9C and Humidity=74.6%
1565426123.997553 Temp=28.0C and Humidity=74.6%
1565426125.169446 Temp=28.0C and Humidity=74.6%
1565426131.046632 Temp=28.0C and Humidity=74.6%
1565426137.099703 Temp=28.0C and Humidity=74.5%
1565426139.099404 Temp=28.0C and Humidity=74.5%
1565426147.625196 Temp=28.0C and Humidity=74.6%
1565426154.363518 Temp=28.0C and Humidity=75.2%
1565426157.044783 Temp=28.0C and Humidity=74.2%
1565426180.248592 Temp=28.0C and Humidity=74.8%
1565426188.491573 Temp=28.0C and Humidity=74.9%
1565426191.116228 Temp=28.0C and Humidity=74.9%
1565426224.610874 Temp=28.0C and Humidity=75.0%
